lat,long,pcds,ctry,ru11ind,pcode,urban
53.172013,-3.073141,CH7 3NA,W92000004,C1,CH73NA,1
51.481302,-3.200535,CF11 9TQ,W92000004,C1,CF119TQ,1
53.11384,-3.312086,LL15 1HR,W92000004,D1,LL151HR,0
53.280933,-3.591478,LL22 7DE,W92000004,C1,LL227DE,1
51.645704,-3.369365,CF37 3PD,W92000004,D1,CF373PD,0
53.114123,-3.311393,LL15 1HY,W92000004,D1,LL151HY,0
51.405466,-3.483707,CF61 1RQ,W92000004,C1,CF611RQ,1
51.746876,-2.855997,NP5 2HX,W92000004,F1,NP52HX,0
51.505562,-3.153135,CF23 9JF,W92000004,C1,CF239JF,1
51.522119,-3.110816,CF3 0AF,W92000004,C1,CF30AF,1
51.647959,-3.924033,SA1 9HP,W92000004,C1,SA19HP,1
51.641276,-3.236015,CF82 7WU,W92000004,C1,CF827WU,1
51.672414,-4.034697,SA4 4PG,W92000004,C1,SA44PG,1
53.108889,-2.924364,LL12 0BD,W92000004,F1,LL120BD,0
51.901846,-4.263002,SA32 7AQ,W92000004,F2,SA327AQ,0
53.296336,-3.568147,LL22 9YL,W92000004,C1,LL229YL,1
51.636593,-3.137136,NP1 7NN,W92000004,C1,NP17NN,1
51.821116,-2.965233,NP7 8BS,W92000004,F1,NP78BS,0
51.595789,-2.758626,NP26 4DS,W92000004,C1,NP264DS,1
51.699589,-3.13148,NP3 2RR,W92000004,D1,NP32RR,0
51.647959,-3.924033,SA5 7YG,W92000004,C1,SA57YG,1
52.217997,-4.287302,SA46 0HN,W92000004,E2,SA460HN,0
51.589455,-2.98006,NP9 8FF,W92000004,C1,NP98FF,1
51.661469,-3.919964,SA6 8PU,W92000004,C1,SA68PU,1
51.610187,-3.585014,CF32 8ES,W92000004,D1,CF328ES,0
51.485063,-3.172737,CF10 3ZE,W92000004,C1,CF103ZE,1
53.073036,-3.015167,LL11 4HY,W92000004,C1,LL114HY,1
